representation,condition,replicate,finite,bounded,before_linear_target_score,after_linear_target_score,delta_linear_target_score,before_linear_max_score,after_linear_max_score,delta_linear_max_score,before_linear_target_p,after_linear_target_p,before_linear_max_p,after_linear_max_p,before_linear_decision,after_linear_decision,linear_decision_agree,before_nonlinear_target_score,after_nonlinear_target_score,delta_nonlinear_target_score,before_nonlinear_max_score,after_nonlinear_max_score,delta_nonlinear_max_score,before_nonlinear_target_p,after_nonlinear_target_p,before_nonlinear_max_p,after_nonlinear_max_p,before_nonlinear_decision,after_nonlinear_decision,nonlinear_decision_agree,before_combined_target_score,after_combined_target_score,delta_combined_target_score,before_combined_max_score,after_combined_max_score,delta_combined_max_score,before_combined_target_p,after_combined_target_p,before_combined_max_p,after_combined_max_p,before_combined_decision,after_combined_decision,combined_decision_agree,after_combined_or_expected,after_combined_or_match
R4,direct_linear,88,True,True,0.572126539047936,0.5712276688086069,-0.0008988702393291081,0.572126539047936,0.5712276688086069,-0.0008988702393291081,0.0005,0.0005,0.0005,0.0005,True,True,True,0.16277965080966372,0.20523103191009856,0.04245138110043484,0.16277965080966372,0.20523103191009856,0.04245138110043484,0.0005,0.0005,0.0005,0.0005,True,True,True,0.572126539047936,0.5712276688086069,-0.0008988702393291081,0.572126539047936,0.5712276688086069,-0.0008988702393291081,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R1,global_common,88,True,True,0.4342413441493476,0.4342413441493477,5.551115123125783e-17,0.4963456994265302,0.4963456994265301,-5.551115123125783e-17,0.0005,0.0005,0.0005,0.0005,True,True,True,0.0958198225159422,0.1278467741096163,0.03202695159367411,0.11336801246526873,0.1685216903782995,0.055153677913030774,0.0005,0.0005,0.0005,0.0005,True,True,True,0.4342413441493476,0.4342413441493477,5.551115123125783e-17,0.4963456994265302,0.4963456994265301,-5.551115123125783e-17,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R2,global_common,88,True,True,0.4342413441493476,0.4342413441493477,5.551115123125783e-17,0.4963456994265302,0.49634569942653006,-1.1102230246251565e-16,0.0005,0.0005,0.0005,0.0005,True,True,True,0.10074980574431547,0.12174728984177959,0.020997484097464117,0.10843208609422336,0.16926578264090872,0.060833696546685356,0.0005,0.0005,0.0005,0.0005,True,True,True,0.4342413441493476,0.4342413441493477,5.551115123125783e-17,0.4963456994265302,0.49634569942653006,-1.1102230246251565e-16,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R3,global_common,88,True,True,0.4342413441493476,0.4337069077222228,-0.000534436427124807,0.4963456994265302,0.49618393386544674,-0.00016176556108343787,0.0005,0.0005,0.0005,0.0005,True,True,True,0.06714622403304618,0.10173003024459477,0.03458380621154859,0.09971697994133881,0.13036021670027315,0.030643236758934336,0.0005,0.0005,0.0005,0.0005,True,True,True,0.4342413441493476,0.4337069077222228,-0.000534436427124807,0.4963456994265302,0.49618393386544674,-0.00016176556108343787,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R4,global_common,88,True,True,0.4342413441493476,0.4300577162049802,-0.004183627944367441,0.4963456994265302,0.5008086575286698,0.004462958102139591,0.0005,0.0005,0.0005,0.0005,True,True,True,0.07727858085245769,0.09851792544914427,0.021239344596686582,0.11456647085222094,0.15405138806476,0.03948491721253905,0.0005,0.0005,0.0005,0.0005,True,True,True,0.4342413441493476,0.4300577162049802,-0.004183627944367441,0.4963456994265302,0.5008086575286698,0.004462958102139591,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R1,nonlinear_square,88,True,True,0.09061299142732383,0.09061299142732386,2.7755575615628914e-17,0.11207637894777525,0.1120763789477753,4.163336342344337e-17,0.9955,0.9955,0.8545,0.8545,False,False,True,0.08570324530761761,0.1086033688726375,0.022900123565019886,0.08570324530761761,0.1086033688726375,0.022900123565019886,0.0005,0.0005,0.0005,0.0005,True,True,True,0.09061299142732383,0.1086033688726375,0.017990377445313663,0.11207637894777525,0.1120763789477753,4.163336342344337e-17,0.9955,0.8915,0.8545,0.8545,False,False,True,True,False
R2,nonlinear_square,88,True,True,0.09061299142732383,0.09061299142732383,0.0,0.11207637894777525,0.11207637894777528,2.7755575615628914e-17,0.9965,0.9965,0.8645,0.8645,False,False,True,0.05055911299762122,0.05866179597563717,0.008102682978015953,0.05055911299762122,0.05866179597563717,0.008102682978015953,0.0005,0.0005,0.0005,0.0005,True,True,True,0.09061299142732383,0.09061299142732383,0.0,0.11207637894777525,0.11207637894777528,2.7755575615628914e-17,0.9965,0.9965,0.8645,0.8645,False,False,True,True,False
R3,nonlinear_square,88,True,True,0.09061299142732383,0.08508423964267024,-0.0055287517846535905,0.11207637894777525,0.11693164205587338,0.004855263108098126,0.991,0.999,0.8515,0.7795,False,False,True,0.08822040058851992,0.10653492989561163,0.01831452930709171,0.08822040058851992,0.10653492989561163,0.01831452930709171,0.0005,0.0005,0.0005,0.0005,True,True,True,0.09061299142732383,0.10653492989561163,0.015921938468287794,0.11207637894777525,0.11693164205587338,0.004855263108098126,0.991,0.915,0.8515,0.7795,False,False,True,True,False
R4,nonlinear_square,88,True,True,0.09061299142732383,0.08639460002631857,-0.004218391401005259,0.11207637894777525,0.1154189362034301,0.0033425572556548544,0.998,0.9995,0.868,0.815,False,False,True,0.05556130552098667,0.06680081410960935,0.01123950858862268,0.05556130552098667,0.06680081410960935,0.01123950858862268,0.0005,0.0005,0.0005,0.0005,True,True,True,0.09061299142732383,0.08639460002631857,-0.004218391401005259,0.11207637894777525,0.1154189362034301,0.0033425572556548544,0.998,0.9995,0.868,0.815,False,False,True,True,False
R1,nonlinear_tanh,88,True,True,0.4560868549454561,0.4560868549454562,1.1102230246251565e-16,0.4560868549454561,0.4560868549454562,1.1102230246251565e-16,0.0005,0.0005,0.0005,0.0005,True,True,True,0.0892034893439492,0.10015879198875133,0.010955302644802128,0.0892034893439492,0.10015879198875133,0.010955302644802128,0.0005,0.0005,0.0005,0.0005,True,True,True,0.4560868549454561,0.4560868549454562,1.1102230246251565e-16,0.4560868549454561,0.4560868549454562,1.1102230246251565e-16,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R2,nonlinear_tanh,88,True,True,0.4560868549454561,0.4560868549454562,1.1102230246251565e-16,0.4560868549454561,0.4560868549454562,1.1102230246251565e-16,0.0005,0.0005,0.0005,0.0005,True,True,True,0.08000333356775693,0.10052998676915752,0.020526653201400583,0.08000333356775693,0.10052998676915752,0.020526653201400583,0.0005,0.0005,0.0005,0.0005,True,True,True,0.4560868549454561,0.4560868549454562,1.1102230246251565e-16,0.4560868549454561,0.4560868549454562,1.1102230246251565e-16,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
