representation,condition,channel,score_scope,n,mean_delta,median_delta,mean_absolute_delta,max_absolute_delta
R4,null,combined,max,100,-0.0002786631027338321,2.052238817631946e-05,0.0026531827486454156,0.010735312184732046
R4,direct_linear,linear,target,100,-0.0017107857196443587,-0.001589100739660454,0.0024724359074995263,0.009034214542207653
R4,direct_linear,linear,max,100,-0.0017107857196443587,-0.001589100739660454,0.0024724359074995263,0.009034214542207653
R4,direct_linear,nonlinear,target,100,0.048265008149548566,0.04756277502337328,0.048265008149548566,0.07081026551555136
R4,direct_linear,nonlinear,max,100,0.048265008149548566,0.04756277502337328,0.048265008149548566,0.07081026551555136
R4,direct_linear,combined,target,100,-0.0017107857196443587,-0.001589100739660454,0.0024724359074995263,0.009034214542207653
R4,direct_linear,combined,max,100,-0.0017107857196443587,-0.001589100739660454,0.0024724359074995263,0.009034214542207653
R4,common_pair,linear,target,100,-0.0010599791895861315,-0.0010036601216573127,0.002839431746405166,0.011782601213183974
R4,common_pair,linear,max,100,-0.0010599791895861315,-0.0010036601216573127,0.002839431746405166,0.011782601213183974
R4,common_pair,nonlinear,target,100,0.04816827960219386,0.04822487303361059,0.04816827960219386,0.08143579647746677
R4,common_pair,nonlinear,max,100,0.04816827960219386,0.04822487303361059,0.04816827960219386,0.08143579647746677
R4,common_pair,combined,target,100,-0.0010599791895861315,-0.0010036601216573127,0.002839431746405166,0.011782601213183974
R4,common_pair,combined,max,100,-0.0010599791895861315,-0.0010036601216573127,0.002839431746405166,0.011782601213183974
R4,nonlinear_square,linear,target,100,-0.0017413185281344532,-0.0012559542107693639,0.008101309226683529,0.042466965354118195
R4,nonlinear_square,linear,max,100,-0.0005840162520187478,-0.0001495013535365436,0.004538820720803016,0.033202464568527906
R4,nonlinear_square,nonlinear,target,100,0.011106156145189837,0.010513499539049499,0.011106156145189837,0.029454389941340822
R4,nonlinear_square,nonlinear,max,100,0.011106156145189837,0.010513499539049499,0.011106156145189837,0.029454389941340822
R4,nonlinear_square,combined,target,100,-0.00047087606902037,-0.000260681249985073,0.00824072139206531,0.042466965354118195
R4,nonlinear_square,combined,max,100,-0.0005840162520187478,-0.0001495013535365436,0.004538820720803016,0.033202464568527906
R4,nonlinear_tanh,linear,target,100,0.003940243041696594,0.0037357603099239245,0.004176361535110323,0.011757118742228845
R4,nonlinear_tanh,linear,max,100,0.003940243041696594,0.0037357603099239245,0.004176361535110323,0.011757118742228845
R4,nonlinear_tanh,nonlinear,target,100,0.028938621959482377,0.028136815083418774,0.028938621959482377,0.04712617690079915
R4,nonlinear_tanh,nonlinear,max,100,0.028938621959482377,0.028136815083418774,0.028938621959482377,0.04712617690079915
R4,nonlinear_tanh,combined,target,100,0.003940243041696594,0.0037357603099239245,0.004176361535110323,0.011757118742228845
R4,nonlinear_tanh,combined,max,100,0.003940243041696594,0.0037357603099239245,0.004176361535110323,0.011757118742228845
