representation,condition,replicate,max_score,target_score,target_significant,target_localized,significant_pairs,broad_global_mode
R2,nonlinear_square,46,0.17265916001210793,0.17265916001210793,True,True,1,False
R2,nonlinear_square,47,0.13699934970918917,0.07821682638861993,False,False,0,False
R2,nonlinear_square,48,0.17253171154227268,0.05306220654269651,False,False,1,False
R2,nonlinear_square,49,0.15387291796970404,0.15387291796970404,False,False,0,False
R2,nonlinear_square,50,0.13249906790672958,0.08505990798674565,False,False,0,False
R2,nonlinear_square,51,0.1245872284156975,0.09882447097665305,False,False,0,False
R2,nonlinear_square,52,0.1540452795707769,0.13447257345428315,False,False,0,False
R2,nonlinear_square,53,0.12891829962700074,0.08601286991105574,False,False,0,False
R2,nonlinear_square,54,0.1434467515174802,0.06769140069920149,False,False,0,False
R2,nonlinear_square,55,0.15043463893809556,0.11611684767550978,False,False,0,False
R2,nonlinear_square,56,0.13627688304757088,0.13627688304757088,False,False,0,False
R2,nonlinear_square,57,0.11827770992936787,0.11654434827686184,False,False,0,False
R2,nonlinear_square,58,0.13121751960900804,0.11788441020873218,False,False,0,False
R2,nonlinear_square,59,0.1130034247794588,0.1130034247794588,False,False,0,False
R2,nonlinear_square,60,0.17424848233200022,0.0527087132697804,False,False,1,False
R2,nonlinear_square,61,0.13837433807753144,0.13716191885669196,False,False,0,False
R2,nonlinear_square,62,0.12893844612931918,0.12893844612931918,False,False,0,False
R2,nonlinear_square,63,0.14984338530658373,0.12518664974253849,False,False,0,False
R2,nonlinear_square,64,0.13860237658124483,0.06536512864504673,False,False,0,False
R2,nonlinear_square,65,0.15804563207924877,0.09584457063995369,False,False,0,False
R2,nonlinear_square,66,0.16656904089593494,0.0745267067017884,False,False,0,False
R2,nonlinear_square,67,0.16891224813896302,0.0833990920653748,False,False,0,False
R2,nonlinear_square,68,0.16700448882934918,0.16700448882934918,False,False,0,False
R2,nonlinear_square,69,0.1353635374931291,0.05247805808380054,False,False,0,False
R2,nonlinear_square,70,0.12217079434859396,0.07281181796952174,False,False,0,False
R2,nonlinear_square,71,0.11793636460329529,0.11173908680568577,False,False,0,False
R2,nonlinear_square,72,0.16989646472374306,0.16989646472374306,False,False,0,False
R2,nonlinear_square,73,0.11840708430813025,0.078967994418775,False,False,0,False
R2,nonlinear_square,74,0.09753911465288233,0.09753911465288233,False,False,0,False
R2,nonlinear_square,75,0.21746425912521336,0.21746425912521336,True,True,1,False
R2,nonlinear_square,76,0.157624777732564,0.06398168888028495,False,False,0,False
R2,nonlinear_square,77,0.20150625779794176,0.0761092164522021,False,False,1,False
R2,nonlinear_square,78,0.1577794048158306,0.10987057095394401,False,False,0,False
R2,nonlinear_square,79,0.13073305327157775,0.10229949375445196,False,False,0,False
R2,nonlinear_square,80,0.17855402259282988,0.17855402259282988,True,True,1,False
R2,nonlinear_square,81,0.11325737163218018,0.07175743351430329,False,False,0,False
R2,nonlinear_square,82,0.1203004717168878,0.08142055164727577,False,False,0,False
R2,nonlinear_square,83,0.16058468459714928,0.16058468459714928,False,False,0,False
R2,nonlinear_square,84,0.17768836432887697,0.07413156054483462,False,False,1,False
R2,nonlinear_square,85,0.16296727704294006,0.11973075195102066,False,False,0,False
R2,nonlinear_square,86,0.1418851032897479,0.08157184804432886,False,False,0,False
R2,nonlinear_square,87,0.12921911402957145,0.12017647001944988,False,False,0,False
R2,nonlinear_square,88,0.11830972590378015,0.08618156105856177,False,False,0,False
R2,nonlinear_square,89,0.14143187941379598,0.10631971992984335,False,False,0,False
R2,nonlinear_square,90,0.11130877027181621,0.05912819332744359,False,False,0,False
R2,nonlinear_square,91,0.14177338158984498,0.0718023367512015,False,False,0,False
R2,nonlinear_square,92,0.10571763092449378,0.08205549047519357,False,False,0,False
R2,nonlinear_square,93,0.15308073865662164,0.08636078946592605,False,False,0,False
R2,nonlinear_square,94,0.1364801775264407,0.12606769612897367,False,False,0,False
R2,nonlinear_square,95,0.11982121791242592,0.07919555446221216,False,False,0,False
R2,nonlinear_square,96,0.10395277518966797,0.06721525255253927,False,False,0,False
R2,nonlinear_square,97,0.19047300868991945,0.059229035611995696,False,False,2,False
R2,nonlinear_square,98,0.1115791575182867,0.06502494442514138,False,False,0,False
R2,nonlinear_square,99,0.14255433945840623,0.06504551102011018,False,False,0,False
R2,nonlinear_square,100,0.1249391910547931,0.10530220260260101,False,False,0,False
R2,nonlinear_square,101,0.16894220300836849,0.05796245981367002,False,False,0,False
R2,nonlinear_square,102,0.1453822256302316,0.05701057887563867,False,False,0,False
R2,nonlinear_square,103,0.14011677670477096,0.13399261135076276,False,False,0,False
R2,nonlinear_square,104,0.12570172930192428,0.05925363173043481,False,False,0,False
R2,nonlinear_square,105,0.11088803244663993,0.06457775354567985,False,False,0,False
R2,nonlinear_square,106,0.12326360379368731,0.08300204671832057,False,False,0,False
R2,nonlinear_square,107,0.13384993509183152,0.08331738973455499,False,False,0,False
R2,nonlinear_square,108,0.1591650003957311,0.07022989191634416,False,False,0,False
R2,nonlinear_square,109,0.12080649715448331,0.06028782172441585,False,False,0,False
R2,nonlinear_square,110,0.123768368863284,0.08101658740700962,False,False,0,False
R2,nonlinear_square,111,0.138418850490578,0.138418850490578,False,False,0,False
R2,nonlinear_square,112,0.10149046413698173,0.06728270272247996,False,False,0,False
R2,nonlinear_square,113,0.13269520675117535,0.13269520675117535,False,False,0,False
R2,nonlinear_square,114,0.13946775409786918,0.12449079055030798,False,False,0,False
R2,nonlinear_square,115,0.11336254825218402,0.11336254825218402,False,False,0,False
R2,nonlinear_square,116,0.19150242480927,0.19150242480927,True,True,1,False
R2,nonlinear_square,117,0.14398088429936157,0.09158301574179249,False,False,0,False
R2,nonlinear_square,118,0.14551257524487876,0.14551257524487876,False,False,0,False
R2,nonlinear_square,119,0.12763093926435612,0.09814336272378517,False,False,0,False
R2,nonlinear_square,120,0.1524386826106178,0.1524386826106178,False,False,0,False
R2,nonlinear_square,121,0.12384427663648777,0.11850255235220376,False,False,0,False
R2,nonlinear_square,122,0.1112574995681438,0.0871154036310071,False,False,0,False
R2,nonlinear_square,123,0.12297540445914708,0.12297540445914708,False,False,0,False
R2,nonlinear_square,124,0.19909873580062873,0.19909873580062873,True,True,1,False
R2,nonlinear_square,125,0.13835317788240553,0.13835317788240553,False,False,0,False
R2,nonlinear_square,126,0.1219326616472791,0.07087483474189389,False,False,0,False
R2,nonlinear_square,127,0.12695323995027064,0.09120621049933547,False,False,0,False
R2,nonlinear_square,128,0.16263856054299392,0.1138590414573788,False,False,0,False
R2,nonlinear_square,129,0.11059600961408508,0.06248601399858623,False,False,0,False
R2,nonlinear_square,130,0.14004861248055225,0.14004861248055225,False,False,0,False
R2,nonlinear_square,131,0.1292339119341687,0.09854774426257595,False,False,0,False
R2,nonlinear_square,132,0.11884416198110899,0.0839014424947368,False,False,0,False
R2,nonlinear_square,133,0.13340820128171507,0.08856616922626313,False,False,0,False
R2,nonlinear_square,134,0.20281008266916695,0.20281008266916695,True,True,1,False
R2,nonlinear_square,135,0.11569839038724325,0.05691750205218409,False,False,0,False
R2,nonlinear_square,136,0.12464808549404964,0.1119423858559065,False,False,0,False
R2,nonlinear_square,137,0.11362918843062977,0.08207849495824078,False,False,0,False
R2,nonlinear_square,138,0.11294552614805212,0.05447156634332776,False,False,0,False
R2,nonlinear_square,139,0.11186982338151207,0.09916990734297036,False,False,0,False
R2,nonlinear_square,140,0.12166650702963189,0.12166650702963189,False,False,0,False
R2,nonlinear_square,141,0.11137388890608446,0.07643937808346996,False,False,0,False
R2,nonlinear_square,142,0.17812327561102448,0.17812327561102448,True,True,1,False
R2,nonlinear_square,143,0.12201640269451931,0.12201640269451931,False,False,0,False
R2,nonlinear_square,144,0.1256966166159248,0.0988198696111961,False,False,0,False
R2,nonlinear_square,145,0.14910535914949816,0.14910535914949816,False,False,0,False
R2,nonlinear_square,146,0.1561212456826449,0.12011919077376687,False,False,0,False
R2,nonlinear_square,147,0.13765537310242942,0.12782405000318847,False,False,0,False
R2,nonlinear_square,148,0.15130694180365126,0.15130694180365126,False,False,0,False
R2,nonlinear_square,149,0.12207674106847337,0.07886253634711578,False,False,0,False
R2,nonlinear_square,150,0.13110411648656806,0.07946385472635711,False,False,0,False
R2,nonlinear_square,151,0.15391757801832362,0.15391757801832362,False,False,0,False
R2,nonlinear_square,152,0.13339732125720274,0.0765514230746078,False,False,0,False
R2,nonlinear_square,153,0.13138140835716852,0.1293520607920611,False,False,0,False
R2,nonlinear_square,154,0.19178103736024565,0.05520417244348277,False,False,1,False
R2,nonlinear_square,155,0.11829152363391354,0.05662237813935905,False,False,0,False
R2,nonlinear_square,156,0.12549071849587612,0.08757651920046731,False,False,0,False
R2,nonlinear_square,157,0.16290612311109667,0.16290612311109667,False,False,0,False
R2,nonlinear_square,158,0.11410472511961156,0.08778841671738385,False,False,0,False
R2,nonlinear_square,159,0.16389360674409661,0.0935316875409318,False,False,0,False
R2,nonlinear_square,160,0.11949177059452527,0.09597138016842476,False,False,0,False
R2,nonlinear_square,161,0.13339195160211814,0.12240112728031154,False,False,0,False
R2,nonlinear_square,162,0.16475979704572588,0.103386219174222,False,False,0,False
R2,nonlinear_square,163,0.14024536759598258,0.054261744107452436,False,False,0,False
R2,nonlinear_square,164,0.15075629503564136,0.14788281060674155,False,False,0,False
R2,nonlinear_square,165,0.11390352442057818,0.09997262078788255,False,False,0,False
R2,nonlinear_square,166,0.19300443836287898,0.08209490486627705,False,False,1,False
R2,nonlinear_square,167,0.15193409206483607,0.06996444870807783,False,False,0,False
R2,nonlinear_square,168,0.14815787359020333,0.09528895698675618,False,False,0,False
R2,nonlinear_square,169,0.12129362808574695,0.0814075267936725,False,False,0,False
R2,nonlinear_square,170,0.10709346538956467,0.0444796490030028,False,False,0,False
R2,nonlinear_square,171,0.13612656381268734,0.13456279065596977,False,False,0,False
R2,nonlinear_square,172,0.16756302082347857,0.16756302082347857,False,False,0,False
R2,nonlinear_square,173,0.14858728316854294,0.05772954816545425,False,False,0,False
R2,nonlinear_square,174,0.13994885207612953,0.11668533438414501,False,False,0,False
R2,nonlinear_square,175,0.13863841255319626,0.07544621072703599,False,False,0,False
R2,nonlinear_square,176,0.1329471887731089,0.07688007473370408,False,False,0,False
