representation,condition,replicate,target_linear_score,target_nonlinear_score,target_combined_score,target_linear_p,target_nonlinear_p,target_combined_p,linear_any,nonlinear_any,combined_any,target_linear_localized,target_nonlinear_localized,target_combined_localized,combined_significant_pairs,broad_global_mode
R1,null,182,0.05945356698764721,0.005344426332941717,0.05945356698764721,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,183,0.029940694509519344,0.0032682551927040743,0.029940694509519344,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,184,0.08719066920226215,0.008542814942817833,0.08719066920226215,0.999,0.9995,0.999,False,False,False,False,False,False,0,False
R1,null,185,0.07933184526367178,0.005934807200034479,0.07933184526367178,0.9995,1.0,0.9995,False,False,False,False,False,False,0,False
R1,null,186,0.07715979695073806,0.0045565692181549124,0.07715979695073806,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,187,0.089696112442539,0.006118392388306672,0.089696112442539,0.9965,1.0,0.9965,False,False,False,False,False,False,0,False
R1,null,188,0.10754463059857006,0.016373921631383313,0.10754463059857006,0.906,0.4125,0.906,False,False,False,False,False,False,0,False
R1,null,189,0.11739544357436651,0.009914952531313914,0.11739544357436651,0.7765,0.9885,0.7765,False,False,False,False,False,False,0,False
R1,null,190,0.053369996381015965,0.0055116203231162526,0.053369996381015965,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,191,0.13996538474774128,0.017987886227435645,0.13996538474774128,0.3435,0.269,0.3435,False,False,False,False,False,False,0,False
R1,null,192,0.04976411896359485,0.003986167829937928,0.04976411896359485,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,193,0.07279184330326886,0.015543938657462822,0.07279184330326886,1.0,0.505,1.0,False,False,False,False,False,False,0,False
R1,null,194,0.05384099927024968,0.007274030155172574,0.05384099927024968,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,195,0.03994921476188912,0.005615664563379997,0.03994921476188912,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,196,0.05746787469872236,0.006377340688864619,0.05746787469872236,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,197,0.05198376417587057,0.0062310168959390936,0.05198376417587057,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,198,0.08188603257509877,0.00571721727909236,0.08188603257509877,0.9995,1.0,0.9995,False,False,False,False,False,False,0,False
R1,null,199,0.14023432117159473,0.011277874070804182,0.14023432117159473,0.339,0.9385,0.339,False,False,False,False,False,False,0,False
R1,null,200,0.11601532869033161,0.018361915811797847,0.11601532869033161,0.7955,0.242,0.7955,False,False,False,False,False,False,0,False
R2,null,1,0.045924655906645954,0.01350968418719651,0.045924655906645954,1.0,0.7525,1.0,False,False,False,False,False,False,0,False
R2,null,2,0.08289029825423085,0.008961019211582842,0.08289029825423085,0.999,0.9985,0.999,False,False,False,False,False,False,0,False
R2,null,3,0.07382678538236552,0.008186084846650623,0.07382678538236552,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R2,null,4,0.0372903637945923,0.006454940782921343,0.0372903637945923,1.0,1.0,1.0,True,False,True,False,False,False,1,False
R2,null,5,0.04982974209097366,0.007644310896360844,0.04982974209097366,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R2,null,6,0.08877037032875226,0.003566099605341127,0.08877037032875226,0.998,1.0,0.998,False,True,False,False,False,False,0,False
R2,null,7,0.10943329679421117,0.008447851004626812,0.10943329679421117,0.897,1.0,0.897,False,False,False,False,False,False,0,False
R2,null,8,0.07763272669303511,0.008663028503850081,0.07763272669303511,0.9995,0.999,0.9995,False,False,False,False,False,False,0,False
R2,null,9,0.10669785708833165,0.003703751102254057,0.10669785708833165,0.927,1.0,0.927,False,False,False,False,False,False,0,False
R2,null,10,0.0517618113485579,0.004011973896623794,0.0517618113485579,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R2,null,11,0.06522404502693871,0.0054193442182938895,0.06522404502693871,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R2,null,12,0.08151736601828344,0.005682394152844759,0.08151736601828344,0.9995,1.0,0.9995,False,False,False,False,False,False,0,False
R2,null,13,0.08723542705084546,0.008094404383115624,0.08723542705084546,0.999,1.0,0.999,False,True,False,False,False,False,0,False
R2,null,14,0.08647029853987921,0.007458600222371945,0.08647029853987921,0.999,1.0,0.999,True,False,True,False,False,False,1,False
R2,null,15,0.06361815369522626,0.006385253377691754,0.06361815369522626,1.0,1.0,1.0,False,False,False,False,False,False,0,False
