candidate,replicate,linear_max,nonlinear_max,combined_max
rff128,52,0.10051681566009768,0.0137494265436492,0.10051681566009768
ensemble4x32,52,0.10051681566009768,0.014224827924772013,0.10051681566009768
rff24,53,0.12149989705620276,0.013845291450922873,0.12149989705620276
rff64,53,0.12149989705620276,0.012171094671463826,0.12149989705620276
rff128,53,0.12149989705620276,0.014160367249293187,0.12149989705620276
ensemble4x32,53,0.12149989705620276,0.01517875189191403,0.12149989705620276
rff24,54,0.13440369965498272,0.021596688206352785,0.13440369965498272
rff64,54,0.13440369965498272,0.020080746126574955,0.13440369965498272
rff128,54,0.13440369965498272,0.01992953888346639,0.13440369965498272
ensemble4x32,54,0.13440369965498272,0.01869932595863148,0.13440369965498272
rff24,55,0.15359946742013644,0.01598114378683854,0.15359946742013644
rff64,55,0.15359946742013644,0.013650667859702209,0.15359946742013644
rff128,55,0.15359946742013644,0.014094267580470915,0.15359946742013644
ensemble4x32,55,0.15359946742013644,0.015133698220766535,0.15359946742013644
rff24,56,0.12577906792398894,0.015313576164824564,0.12577906792398894
rff64,56,0.12577906792398894,0.015299191567009242,0.12577906792398894
rff128,56,0.12577906792398894,0.015433723178970921,0.12577906792398894
ensemble4x32,56,0.12577906792398894,0.014775866313477057,0.12577906792398894
rff24,57,0.1684623862251223,0.013967636676444644,0.1684623862251223
rff64,57,0.1684623862251223,0.01254519134252746,0.1684623862251223
rff128,57,0.1684623862251223,0.015311532308363057,0.1684623862251223
ensemble4x32,57,0.1684623862251223,0.013397735520637678,0.1684623862251223
rff24,58,0.13206488555786566,0.016867255977025594,0.13206488555786566
rff64,58,0.13206488555786566,0.014888315361495454,0.13206488555786566
rff128,58,0.13206488555786566,0.015443305388314316,0.13206488555786566
ensemble4x32,58,0.13206488555786566,0.01356064108760292,0.13206488555786566
rff24,59,0.11782196492074418,0.019551025857430446,0.11782196492074418
rff64,59,0.11782196492074418,0.022078906206343903,0.11782196492074418
rff128,59,0.11782196492074418,0.02021327883644784,0.11782196492074418
ensemble4x32,59,0.11782196492074418,0.019019918935222518,0.11782196492074418
rff24,60,0.19005365606759045,0.024872033339051566,0.19005365606759045
rff64,60,0.19005365606759045,0.02978844669692705,0.19005365606759045
rff128,60,0.19005365606759045,0.022726326887612506,0.19005365606759045
ensemble4x32,60,0.19005365606759045,0.024112111048519104,0.19005365606759045
rff24,61,0.14142343786908176,0.018239025309470826,0.14142343786908176
rff64,61,0.14142343786908176,0.01827420208915097,0.14142343786908176
rff128,61,0.14142343786908176,0.01844016011039671,0.14142343786908176
ensemble4x32,61,0.14142343786908176,0.01558957073877703,0.14142343786908176
rff24,62,0.11542128913818935,0.01715013762388777,0.11542128913818935
rff64,62,0.11542128913818935,0.013393180067836952,0.11542128913818935
rff128,62,0.11542128913818935,0.01463931605322638,0.11542128913818935
ensemble4x32,62,0.11542128913818935,0.014197134765924522,0.11542128913818935
rff24,63,0.1293302256053434,0.011226943793223584,0.1293302256053434
rff64,63,0.1293302256053434,0.014860633599888717,0.1293302256053434
rff128,63,0.1293302256053434,0.012521527344239615,0.1293302256053434
ensemble4x32,63,0.1293302256053434,0.011463153011903312,0.1293302256053434
