candidate,condition,replicate,target_linear,target_nonlinear,target_combined,target_linear_p,target_nonlinear_p,target_combined_p,linear_max_p,nonlinear_max_p,combined_max_p
rff24,nonlinear_square,22,0.0889146181437212,0.11550889484254827,0.11550889484254827,0.9985,0.0005,0.7965,0.635,0.0005,0.635
rff64,nonlinear_square,22,0.0889146181437212,0.07222197423809745,0.0889146181437212,0.9985,0.0005,0.9985,0.635,0.0005,0.635
rff128,nonlinear_square,22,0.0889146181437212,0.0922561008145379,0.0922561008145379,0.9985,0.0005,0.995,0.635,0.0005,0.635
ensemble4x32,nonlinear_square,22,0.0889146181437212,0.10495904913524984,0.10495904913524984,0.9985,0.0005,0.937,0.635,0.0005,0.635
rff24,nonlinear_square,23,0.0743153742749295,0.1017528082829382,0.1017528082829382,1.0,0.0005,0.962,0.8755,0.0005,0.8755
rff64,nonlinear_square,23,0.0743153742749295,0.06517966780943021,0.0743153742749295,1.0,0.0005,1.0,0.8755,0.0005,0.8755
rff128,nonlinear_square,23,0.0743153742749295,0.08780739465024319,0.08780739465024319,1.0,0.0005,0.999,0.8755,0.0005,0.8755
ensemble4x32,nonlinear_square,23,0.0743153742749295,0.09662407647408922,0.09662407647408922,1.0,0.0005,0.985,0.8755,0.0005,0.8755
rff24,nonlinear_square,24,0.11693295070384893,0.07937065568222697,0.11693295070384893,0.7805,0.0005,0.7805,0.658,0.0005,0.658
rff64,nonlinear_square,24,0.11693295070384893,0.04905834457663955,0.11693295070384893,0.7805,0.0005,0.7805,0.658,0.0005,0.658
rff128,nonlinear_square,24,0.11693295070384893,0.07094372599453799,0.11693295070384893,0.7805,0.0005,0.7805,0.658,0.0005,0.658
ensemble4x32,nonlinear_square,24,0.11693295070384893,0.07770270717665737,0.11693295070384893,0.7805,0.0005,0.7805,0.658,0.0005,0.658
rff24,nonlinear_square,25,0.06370618949108371,0.12597712346802484,0.12597712346802484,1.0,0.0005,0.613,0.285,0.0005,0.285
rff64,nonlinear_square,25,0.06370618949108371,0.07765872110665305,0.07765872110665305,1.0,0.0005,1.0,0.285,0.0005,0.285
rff128,nonlinear_square,25,0.06370618949108371,0.10203835712004275,0.10203835712004275,1.0,0.0005,0.96,0.285,0.0005,0.285
ensemble4x32,nonlinear_square,25,0.06370618949108371,0.11791804269538353,0.11791804269538353,1.0,0.0005,0.7665,0.285,0.0005,0.285
rff24,nonlinear_square,26,0.17330505994894443,0.10614339370758741,0.17330505994894443,0.041,0.0005,0.041,0.041,0.0005,0.041
rff64,nonlinear_square,26,0.17330505994894443,0.06448188781316927,0.17330505994894443,0.041,0.0005,0.041,0.041,0.0005,0.041
rff128,nonlinear_square,26,0.17330505994894443,0.09470017407536156,0.17330505994894443,0.041,0.0005,0.041,0.041,0.0005,0.041
ensemble4x32,nonlinear_square,26,0.17330505994894443,0.10462392445446178,0.17330505994894443,0.041,0.0005,0.041,0.041,0.0005,0.041
rff24,nonlinear_square,27,0.1280165979701916,0.09699697088083463,0.1280165979701916,0.574,0.0005,0.574,0.574,0.0005,0.574
rff64,nonlinear_square,27,0.1280165979701916,0.05752653522381282,0.1280165979701916,0.574,0.0005,0.574,0.574,0.0005,0.574
rff128,nonlinear_square,27,0.1280165979701916,0.07756467224765583,0.1280165979701916,0.574,0.0005,0.574,0.574,0.0005,0.574
ensemble4x32,nonlinear_square,27,0.1280165979701916,0.08937108066011702,0.1280165979701916,0.574,0.0005,0.574,0.574,0.0005,0.574
rff24,nonlinear_square,28,0.061594933380801783,0.12570805381713673,0.12570805381713673,1.0,0.0005,0.6155,0.793,0.0005,0.6155
rff64,nonlinear_square,28,0.061594933380801783,0.07071824212616305,0.07071824212616305,1.0,0.0005,1.0,0.793,0.0005,0.793
rff128,nonlinear_square,28,0.061594933380801783,0.09792460279296994,0.09792460279296994,1.0,0.0005,0.9825,0.793,0.0005,0.793
ensemble4x32,nonlinear_square,28,0.061594933380801783,0.11151673345617996,0.11151673345617996,1.0,0.0005,0.8605,0.793,0.0005,0.793
rff24,nonlinear_square,29,0.08836126837665867,0.11507018915021344,0.11507018915021344,0.9985,0.0005,0.8055,0.499,0.0005,0.499
rff64,nonlinear_square,29,0.08836126837665867,0.07206682025953728,0.08836126837665867,0.9985,0.0005,0.9985,0.499,0.0005,0.499
rff128,nonlinear_square,29,0.08836126837665867,0.10320040164475433,0.10320040164475433,0.9985,0.0005,0.953,0.499,0.0005,0.499
ensemble4x32,nonlinear_square,29,0.08836126837665867,0.11010334671030052,0.11010334671030052,0.9985,0.0005,0.882,0.499,0.0005,0.499
rff24,nonlinear_square,30,0.06024937789548167,0.1240511495477766,0.1240511495477766,1.0,0.0005,0.6445,0.3535,0.0005,0.3535
rff64,nonlinear_square,30,0.06024937789548167,0.06551093001883838,0.06551093001883838,1.0,0.0005,1.0,0.3535,0.0005,0.3535
rff128,nonlinear_square,30,0.06024937789548167,0.08355408389540467,0.08355408389540467,1.0,0.0005,0.9995,0.3535,0.0005,0.3535
ensemble4x32,nonlinear_square,30,0.06024937789548167,0.09974833702288065,0.09974833702288065,1.0,0.0005,0.97,0.3535,0.0005,0.3535
rff24,nonlinear_square,31,0.07133899307819024,0.1078329821346666,0.1078329821346666,1.0,0.0005,0.9075,0.15,0.0005,0.15
rff64,nonlinear_square,31,0.07133899307819024,0.06458767251731488,0.07133899307819024,1.0,0.0005,1.0,0.15,0.0005,0.15
rff128,nonlinear_square,31,0.07133899307819024,0.07787238213045083,0.07787238213045083,1.0,0.0005,1.0,0.15,0.0005,0.15
ensemble4x32,nonlinear_square,31,0.07133899307819024,0.08941852051904275,0.08941852051904275,1.0,0.0005,0.9985,0.15,0.0005,0.15
rff24,nonlinear_square,32,0.07772247086903934,0.11822109918101688,0.11822109918101688,1.0,0.0005,0.7605,0.5635,0.0005,0.5635
rff64,nonlinear_square,32,0.07772247086903934,0.07051564763747568,0.07772247086903934,1.0,0.0005,1.0,0.5635,0.0005,0.5635
rff128,nonlinear_square,32,0.07772247086903934,0.09472281596076311,0.09472281596076311,1.0,0.0005,0.9885,0.5635,0.0005,0.5635
ensemble4x32,nonlinear_square,32,0.07772247086903934,0.10770226570699884,0.10770226570699884,1.0,0.0005,0.9095,0.5635,0.0005,0.5635
rff24,nonlinear_square,33,0.21498404719445205,0.11825488216057772,0.21498404719445205,0.0025,0.0005,0.0025,0.0025,0.0005,0.0025
rff64,nonlinear_square,33,0.21498404719445205,0.07562636020397008,0.21498404719445205,0.0025,0.0005,0.0025,0.0025,0.0005,0.0025
rff128,nonlinear_square,33,0.21498404719445205,0.10176708918475226,0.21498404719445205,0.0025,0.0005,0.0025,0.0025,0.0005,0.0025
ensemble4x32,nonlinear_square,33,0.21498404719445205,0.11787630170662475,0.21498404719445205,0.0025,0.0005,0.0025,0.0025,0.0005,0.0025
rff24,nonlinear_square,34,0.09892952869237719,0.10035236703741246,0.10035236703741246,0.974,0.0005,0.968,0.3795,0.0005,0.3795
rff64,nonlinear_square,34,0.09892952869237719,0.05770608635300344,0.09892952869237719,0.974,0.0005,0.974,0.3795,0.0005,0.3795
rff128,nonlinear_square,34,0.09892952869237719,0.07804730592891655,0.09892952869237719,0.974,0.0005,0.974,0.3795,0.0005,0.3795
ensemble4x32,nonlinear_square,34,0.09892952869237719,0.08868877840848073,0.09892952869237719,0.974,0.0005,0.974,0.3795,0.0005,0.3795
rff24,nonlinear_square,35,0.07629544345564164,0.1489723339316135,0.1489723339316135,1.0,0.0005,0.2095,0.588,0.0005,0.2095
rff64,nonlinear_square,35,0.07629544345564164,0.08938993905167507,0.08938993905167507,1.0,0.0005,0.9985,0.588,0.0005,0.588
rff128,nonlinear_square,35,0.07629544345564164,0.1103630563346896,0.1103630563346896,1.0,0.0005,0.8775,0.588,0.0005,0.588
ensemble4x32,nonlinear_square,35,0.07629544345564164,0.1309609379797439,0.1309609379797439,1.0,0.0005,0.5155,0.588,0.0005,0.5155
rff24,nonlinear_square,36,0.14309426177316992,0.10835799701801156,0.14309426177316992,0.292,0.0005,0.292,0.0215,0.0005,0.0215
